gender,age,birth_year,race,marital_status,child_number,age_first_childbirth,education,laborforce,occupation,income,poverty_status,profile_id
Male,25,1955.0,"Non-Black, Non-Hispanic",Single,0,,College and above,In the labor force,"Precision Production, Craft, and Repair Occupations",5500.0,Above poverty line,198
Male,9,1971.0,"Non-Black, Non-Hispanic",Single,0,,Less than high school,,,,Above poverty line,199
Female,5,1975.0,Hispanic,Single,0,,Less than high school,,,,Above poverty line,200
Female,3,1977.0,"Non-Black, Non-Hispanic",Single,0,,Less than high school,,,,Above poverty line,201
Male,31,1949.0,"Non-Black, Non-Hispanic",Married,0,,College and above,In the labor force,Professional Specialty Occupations,13012.0,Above poverty line,202
Female,18,1962.0,"Non-Black, Non-Hispanic",Single,0,,High school,Not in the labor force,Service Occupations,1021.0,Above poverty line,203
Female,14,1966.0,Black,Single,0,,Less than high school,Not in the labor force,,,Above poverty line,204
Male,17,1963.0,Black,Single,0,,High school,In the labor force,"Operators, Fabricators, and Laborers",450.0,Above poverty line,205
Female,61,1919.0,Black,Married,1,37.0,High school,In the labor force,Service Occupations,7500.0,Above poverty line,206
Male,17,1963.0,Hispanic,Single,0,,High school,In the labor force,Service Occupations,3690.0,Above poverty line,207
Female,6,1974.0,"Non-Black, Non-Hispanic",Single,0,,Less than high school,,,,Above poverty line,208
Male,35,1945.0,Hispanic,Married,2,33.0,High school,In the labor force,Service Occupations,14075.0,Above poverty line,209
Female,77,1903.0,"Non-Black, Non-Hispanic",Divorced/widowed,0,,Less than high school,Not in the labor force,,5042.0,Above poverty line,210
Male,6,1974.0,"Non-Black, Non-Hispanic",Single,0,,Less than high school,,,,Above poverty line,211
Male,8,1972.0,"Non-Black, Non-Hispanic",Single,0,,Less than high school,,,,Above poverty line,212
Female,63,1917.0,Hispanic,Married,1,40.0,Less than high school,Not in the labor force,,0.0,Below poverty line,213
Male,35,1945.0,"Non-Black, Non-Hispanic",Married,1,26.0,High school,In the labor force,"Precision Production, Craft, and Repair Occupations",24317.0,Above poverty line,214
Female,23,1957.0,"Non-Black, Non-Hispanic",Single,0,,College and above,In the labor force,Professional Specialty Occupations,5007.0,Above poverty line,215
Male,65,1915.0,"Non-Black, Non-Hispanic",Married,0,,Less than high school,Not in the labor force,,14500.0,Above poverty line,216
Male,28,1952.0,Black,Married,3,19.0,High school,In the labor force,"Operators, Fabricators, and Laborers",16400.0,Above poverty line,217
Female,17,1963.0,"Non-Black, Non-Hispanic",Single,0,,High school,In the labor force,,0.0,Above poverty line,218
Male,49,1931.0,"Non-Black, Non-Hispanic",Married,1,48.0,High school,In the labor force,Service Occupations,12010.0,Above poverty line,219
Female,32,1948.0,"Non-Black, Non-Hispanic",Married,2,23.0,College and above,In the labor force,Clerical and Administrative Support Occupations,1600.0,Above poverty line,220
